date,stop-and-search
2020-01,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-12,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-11,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-10,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-09,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-08,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-07,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-06,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,greater-manchester,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-05,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,greater-manchester,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-04,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,greater-manchester,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-03,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,greater-manchester,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-02,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,greater-manchester,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2019-01,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,greater-manchester,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2018-12,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,greater-manchester,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
2018-11,"avon-and-somerset,bedfordshire,btp,cambridgeshire,cheshire,city-of-london,cleveland,cumbria,derbyshire,devon-and-cornwall,dorset,durham,dyfed-powys,essex,gloucestershire,greater-manchester,gwent,hampshire,hertfordshire,humberside,kent,lancashire,leicestershire,lincolnshire,merseyside,metropolitan,norfolk,north-wales,north-yorkshire,northamptonshire,northumbria,nottinghamshire,south-wales,south-yorkshire,staffordshire,suffolk,surrey,sussex,thames-valley,warwickshire,west-mercia,west-midlands,west-yorkshire,wiltshire"
